,SVR,Deep Learning,XGBoost,LightGBM,Random Forest
MAPE_mean,3.93%,4.11%,0.87%,0.85%,1.01%
RMSE_mean,20.95,21.46,4.06,4.39,5.55
MAE_mean,15.4,15.91,3.13,3.31,3.87
MAPE_median,3.90%,4.14%,0.20%,0.59%,1.01%
RMSE_median,20.36,21.58,0.99,3.2,5.29
MAE_median,15.04,15.49,0.78,2.29,3.65
MAPE_min,3.23%,3.37%,0.00%,0.12%,0.51%
RMSE_min,15.66,17.72,0.0005,0.53,3
MAE_min,11.27,12.96,0.0004,0.35,2.05
MAPE_max,5.20%,4.81%,8.01%,4.99%,1.51%
RMSE_max,29.5,24.75,38.04,23.95,7.91
MAE_max,22.7,18.67,28.59,17.98,5.94
