,Date,CDN.AVG.1YTO3Y.AVG,CDN.AVG.3YTO5Y.AVG,CDN.AVG.5YTO10Y.AVG,CDN.AVG.OVER.10.AVG,BD.CDN.2YR.DQ.YLD,BD.CDN.3YR.DQ.YLD,BD.CDN.5YR.DQ.YLD,BD.CDN.7YR.DQ.YLD,BD.CDN.10YR.DQ.YLD,BD.CDN.LONG.DQ.YLD,BD.CDN.RRB.DQ.YLD,Exchange.Rate,Taxes_exp,CDN_Lbr_Cons,US_Lbr_Cons,Tot_Lbr_Cons,US_Lbr_Imp_Tot,Us_Lbr_Imp_C,Us_Lbr_Imp_NC,US_Lbr_Exp,US_LBR_SHPMT,WST_LBR_SHPMT,US_LBR_PROD,WST_LBR_PROD,STH_LBR_PROD,OTH_LBR_PROD,STH_LBR_INV,US_PPI_Lumber,Total_Exp,IndGlobalCAN,IndGlobalQc,TauxUSD_CAD,Dollar.US.dollar.CDN,HsSglSAAR.AB,HsSglSAAR.CAN,HsSglSAAR.CB,HsSglSAAR.QC,ProductionSciage.SK,ProductionSciage.NS,TotShip.NS,ProductionSciage.NB,ProductionSciage.ON,InventaireSciageRes.ON,TotShip.ON,ProductionSciage.MB,ProductionSciage.QC,InventaireSciageRes.QC,TotShip.QC,ProductionSciage.CAN,InventaireSciageRes.CAN,TotShip.CAN,ProdSciageFeuillu.CAN,ProductionSciage.CB,InventaireSciageRes.CB,ProductionSciage.AB,InventaireSciageRes.AB,TotShip.AB,ValeurExport.CHN,VolumeExport.CHN,ValeurExport.JPN,VolumeExport.JPN,ValeurExport.PaysExport,VolumeExport.PaysExport,ValeurExport.USA,VolumeExport.USA,HsTotSAAR.STH,HsTotSAAR.MW,HsTotSAAR.NE,HsTotSAAR.WST,HsTotSAAR.USA,HsSglSAAR.USA,HsTotAct.USA,HsSglAct.USA,HsMltSAAR.USA,HsMltAct.USA,BdgPmtTotSAAR.USA,BdgPmtSglSAAR.USA,BdgPmtTotAct.USA,NewSoldMedPrice.USA,ExistSoldPrice.USA,IndNAR_HAI.USA,BdgPmtMltSAAR.USA,MnfdHomesSAAR.USA,MnfdHomesAct.USA,NewSoldSAAR.USA,NewSoldAct.USA,NewForSaleSAAR.USA,NewForSaleAct.USA,NewMthSply.USA,ExistSoldSAAR.USA,ExistSoldAct.USA,ExistForSaleInv.USA,ExistMthSply.USA,ConstSpendRes.USA,ConstSpendNonRes.USA,IndNAHB.USA,IndHPI_Act.USA,IndHPI_SAAR.USA
1,2004-01-01,3.035758591,3.786050043,4.458697983,5.184182634,2.981069581,3.279288246,3.949555517,4.344334182,4.701898529,5.244213308,2.793011691,1.296,0.27,1157,4491,5648,1476,1328,148,68,3068,1368.090448,3037,1430,1428,179,1694.278003,181.5,1340628187,103.3,103.2,1.2959,0.7716645,19291,91196,12300,15340,75.4,125.7,118.1730996,261.3,677.8,706.5,362.9049234,52.1,1422.7,3088.1,1477.170097,6289.8,8414.7,6440.7,146.5,3027.2,3397.3,647.5,689.6,947.1972049,3540053,12224,86425845,295381,384564707,2126483,264857060,1734803,910,340,148,513,1911,1560,124,100,351,24,1952,1539,132,209500,159023.5769,134.3,413,122,8.7,1165,89,374,376,3.85,5980,352,2200,4.41,503959,434867,68,181.59,182.17
2,2004-01-08,3,3.77,4.47,5.22,2.95,3.26,3.93,4.34,4.72,5.29,2.76,1.2787,0.269999928,945.5460169,4330.81243,5276.358447,1468.198288,1305.688472,162.5098154,75.02073127,2928.379181,1263.84916,2934.721041,1380.163212,1377.105138,172.4517592,1691.386435,182.3158175,1264758415,103.2689992,103.234641,1.30849093,0.764364488,17223.02932,91136.83807,12077.62558,16489.28999,81.50392264,96.0411437,111.5312774,244.6879256,666.257584,720.8088899,326.8042009,56.05520423,1381.712214,3081.475384,1377.082302,6120.729346,8468.193289,6084.279744,142.3269072,2977.13388,3443.893589,617.1999748,689.5755468,893.4034607,2838316.3,13515.5006,86932752.7,344515.6133,380371598.5,2144884.637,257873446.7,1677406.637,886.5577853,327.9412455,158.2172747,474.1805865,1846.896892,1491.952786,111.9635403,89.61398878,354.9441061,22.34955152,1928.414662,1520.653111,119.3052331,217171.8107,157305.271,132.8269719,407.7615508,119.1987878,8.125049208,1121.039363,86.26002714,371.0177494,370.792499,3.956354145,6100.531778,327.1945255,2256.961043,4.438364818,503606.0732,429643.5162,67.60408503,181.7467068,182.4307514
3,2004-01-15,2.86,3.58,4.27,5.04,2.81,3.11,3.75,4.15,4.52,5.12,2.66,1.2958,0.269999892,812.8879356,4267.644928,5080.532863,1490.395188,1315.835593,174.559595,79.20577638,2848.139284,1208.157733,2891.777074,1363.642253,1350.958989,169.6119337,1689.97639,183.8504891,1228840653,103.2794604,103.2974743,1.317528222,0.759118088,16025.33405,92288.56319,11960.77331,17413.76992,85.98793524,81.43543349,107.9495806,242.6245166,666.968267,735.2394566,305.9279502,58.16501789,1387.215597,3100.163397,1330.976236,6102.846263,8577.442337,5898.886604,142.6719313,2975.934955,3508.049037,604.3624622,698.1399228,865.0584296,2607371.629,15141.0009,88661773.96,377760.8045,387804290.2,2186278.391,260966740.2,1665794.929,871.5850754,322.4455221,165.2393736,453.8109439,1813.080915,1454.751294,107.3459515,85.65816265,358.3296207,21.68778881,1920.54507,1516.458833,114.8498368,221458.5173,156882.1939,132.0032784,404.0862364,118.2180535,7.920907146,1103.00616,86.83074583,369.563483,367.4355434,3.997848526,6199.948308,320.27416,2303.135475,4.459085688,503668.1339,427286.9602,67.18337114,181.9796275,182.6941078
4,2004-01-22,2.6,3.34,4.1,4.97,2.54,2.85,3.52,3.96,4.39,5.05,2.57,1.2946,0.269999892,747.2568458,4286.07121,5033.328056,1537.092944,1352.738478,184.3544667,80.98045587,2818.609797,1193.671805,2897.972587,1374.439689,1345.960271,169.8462285,1689.818209,185.997252,1226579818,103.3254219,103.3829871,1.323570049,0.755605453,15559.02412,94401.76928,11935.80825,18136.40485,89.08998652,79.35915144,106.9661558,252.3371448,677.4201581,749.3955784,298.0819531,58.74722943,1430.142873,3139.183718,1330.025672,6207.808506,8730.294741,5858.353591,146.6535018,3014.51909,3585.527691,606.0449622,713.6565253,858.2257078,2763012.109,16998.0509,91371344.18,397295.7891,404816862.8,2246086.327,272439270.2,1692356.703,863.9334729,322.4791759,169.5528351,448.851008,1804.816492,1443.67341,108.9465925,87.09534214,361.1430822,21.85125035,1925.868147,1523.938,117.251824,222919.3186,157589.3582,131.7160989,401.9301467,118.7379253,8.024240479,1106.353276,90.07145096,369.400342,365.6823383,3.986165833,6281.098949,328.4565318,2339.629385,4.47262415,504103.3579,427328.4461,66.76061473,182.2811949,182.9620886
5,2004-01-29,2.75,3.53,4.31,5.15,2.69,3,3.72,4.17,4.6,5.23,2.61,1.33,0.269999928,736.8838374,4370.664995,5107.548832,1602.7938,1410.694241,192.099559,80.77009024,2831.120207,1213.047017,2943.112066,1406.558083,1358.507702,172.5203489,1690.682238,188.6493432,1251680830,103.4009223,103.4856666,1.327174584,0.753506739,15685.20945,97227.05025,11989.09546,18680.15986,91.0480252,87.28857959,108.1191499,271.053182,695.1013661,762.8811335,301.0719913,58.11962731,1501.426766,3193.556025,1365.404379,6407.273833,8914.598096,5936.513719,153.3900482,3083.802149,3672.090896,619.3049748,734.4887519,868.9688914,3221030.859,18984.2006,94819898.73,405299.7825,429363396.8,2319730.508,290593366.6,1749480.785,862.4545802,327.0085532,171.6441978,456.2607147,1817.368046,1453.997017,115.5648223,92.88834775,363.3710292,22.67647459,1941.860816,1540.611445,125.1292074,222113.4133,159261.7769,131.852613,401.2493713,120.4385314,8.371715875,1126.533594,95.34143739,370.2914673,365.2860888,3.932988761,6346.83306,348.9592691,2367.548864,4.479441741,504869.9213,429299.088,66.35857221,182.6438414,183.2367129
6,2004-02-05,2.67,3.47,4.25,5.1,2.61,2.92,3.66,4.12,4.55,5.18,2.64,1.3377,0.27,770,4506,5276,1682,1484,198,79,2877,1258.939006,3017,1454,1385,177,1692.338818,191.7,1297848605,103.5,103.6,1.3289,0.7525021,16265,100515,12107,19068,92.1,102.7,110.9467095,296,717.5,775.3,312.7038467,56.6,1592,3258.3,1428.286131,6672.9,9118.2,6107.2,162,3174.7,3763.5,641.2,759,893.3515767,3897221,20997,98765873,403952,459397973,2402633,313731359,1829556,866,335,172,473,1846,1481,126,102,365,24,1966,1564,137.1,219600,161734.4627,132.3,402,123,8.9,1159,102,372,366,3.85,6400,379,2388,4.48,505926,432730,66,183.06,183.52
7,2004-02-12,2.47,3.28,4.11,5,2.4,2.7,3.49,3.96,4.43,5.1,2.58,1.3189,0.270000098,834.6023897,4676.302654,5510.905043,1768.277488,1566.208098,202.0693895,76.12943062,2948.206746,1323.841483,3109.188906,1510.251532,1421.50163,182.6307616,1694.539038,195.026006,1358494923,103.6149301,103.717918,1.32930644,0.752268793,17149.10861,103973.0192,12278.55737,19323.46045,92.55876222,122.7917065,114.9834003,324.0449313,741.8927474,786.2359602,330.8103128,54.58962021,1691.741537,3327.694912,1509.450865,6974.35151,9327.336407,6344.286589,171.5042484,3277.966684,3854.900374,668.7003468,785.4036177,927.3532153,4694131.03,22898.09762,102912755.6,395493.3067,492526110.9,2489410.751,339898139.2,1924080.662,873.5704464,345.3899656,171.1568057,495.4123677,1885.529585,1519.501441,138.9280881,113.2854712,366.0281442,25.64261687,1995.331992,1591.200719,151.6638158,216031.1644,164844.1889,132.9463478,404.1312733,126.0640677,9.541782066,1198.505625,109.3016538,374.2692213,367.5769434,3.750857526,6443.85564,415.6729868,2402.053838,4.474465614,507220.5358,437115.5676,65.71616165,183.5210343,183.8139666
8,2004-02-19,2.52,3.32,4.14,5.02,2.45,2.75,3.52,4,4.46,5.12,2.59,1.328,0.270000171,917.7519279,4864.410221,5782.162149,1851.447015,1647.891802,203.555214,72.75332735,3039.210342,1399.600438,3208.223426,1566.732885,1462.740041,188.6777129,1696.956962,198.4383308,1425858995,103.7309345,103.8211251,1.328961926,0.75247248,18146.65984,107135.7359,12503.48475,19472.35679,93.03677348,143.6500401,119.7494636,350.6151511,764.7106098,795.1924122,353.3322306,52.82369764,1786.315286,3393.058398,1598.103189,7273.319854,9521.796709,6621.81221,180.5335313,3383.708957,3938.973496,698.4275599,811.3127558,966.6166809,5461330.952,24405.53608,106744248,382411.1666,524959086.3,2571460.251,366108846.2,2020991.043,884.7630803,356.9953112,169.8512803,517.3755942,1928.985266,1562.48521,152.5314636,125.1693408,366.5000557,27.36212284,2025.180562,1617.615528,166.846674,212430.5393,168434.7699,133.6833776,407.5650349,129.1189045,10.21384146,1237.004589,116.0817945,376.7629735,369.7684558,3.657120443,6483.2819,455.5790276,2410.641241,4.461825865,508665.5338,441803.2619,65.57234933,184.0140328,184.1206194
9,2004-02-26,2.45,3.25,4.08,4.99,2.38,2.68,3.46,3.94,4.41,5.1,2.55,1.3435,0.270000159,1006.275502,5052.812678,6059.08818,1920.393035,1718.879604,201.5134314,69.50056041,3145.108767,1477.899931,3302.396233,1614.347796,1503.108433,194.3858078,1699.247397,201.7314901,1491886894,103.8314716,103.8887698,1.328436449,0.752775928,19056.38115,109494.5846,12784.16976,19541.07474,94.221398,161.0833537,124.7615596,370.7777954,782.1731673,801.6526581,378.237453,52.12092625,1860.331392,3444.967685,1683.053879,7529.503272,9679.758656,6913.856725,187.6210486,3481.871752,4007.78487,726.915993,834.1905161,1006.700703,6035146.149,25201.45649,109689104.9,367254.6931,552559613.8,2639372.875,389121181.1,2107332.903,899.324174,368.6030013,168.8701147,532.1510235,1968.948314,1602.476374,164.8691073,135.9685399,366.4719393,28.9005674,2050.438852,1638.222573,180.5561952,209914.6446,172351.7805,134.4037185,412.216279,131.6142891,10.82898013,1265.751258,121.071038,379.1252389,372.3257403,3.592323139,6523.567209,495.1955546,2414.658022,4.440773184,510163.7648,446103.8252,65.64236234,184.5250149,184.4419624
10,2004-03-04,2.52,3.28,4.07,4.94,2.46,2.74,3.49,3.94,4.38,5.05,2.47,1.3335,0.27,1087,5224,6311,1964,1769,195,67,3261,1550.424022,3380,1644,1537,199,1701.065151,204.7,1548524691,103.9,103.9,1.3283,0.7528419,19677,110541,13123,19556,96.8,170.9,129.5363484,379.6,790.5,805.1,403.4938326,53.3,1898.4,3474,1753.113709,7702.6,9779.4,7194.5,191.3,3562.4,4053.4,750.7,851.5,1043.16401,6251902,24968,111176081,352573,571190408,2683740,405692845,2170152,917,379,169,533,1998,1632,174,144,366,30,2066,1648,190.7,209600,176440.7957,135,418,133,11.3,1276,123,381,375,3.58,6570,531,2415,4.41,511618,449328,66,185.04,184.78
