index,MAE,RMSE,MAPE,Series_Number
XGBoost,6.492144546508789,8.340637848147722,1.5006858817607078,2
Random Forest,3.040596763911541,4.106969701662901,0.6883047059530754,2
LightGBM,9.029549607235568,12.826897807955646,2.0132099286517318,2
Deep Learning,18.7657234954834,24.556110613992463,4.235595186252316,2
SVR,17.03852014055597,23.333304313142005,3.836382088261768,2
XGBoost,3.4235679626464846,4.298507148291904,0.7723646122678923,3
Random Forest,3.2044844109623467,4.301871867257096,0.7246250585050784,3
LightGBM,1.0494221174984841,1.6130399398060287,0.22582426032603653,3
Deep Learning,15.195679931640624,20.51301168338831,3.4031093984344696,3
SVR,14.159729780195109,19.387457696657858,3.167508434358774,3
