index,MAE,RMSE,MAPE,Series_Number
SVR,17.88105153,24.36326839,4.076143099,1
Deep Learning,18.60090057,24.75258359,4.227786237,1
XGBoost,0.000671539,0.000907045,0.000160162,1
Random Forest,5.181565889,7.216033981,1.200762248,1
LightGBM,3.126535273,3.932174902,0.728695459,1
SVR,17.96100306,24.1085039,4.055294301,2
Deep Learning,18.67953537,24.50851434,4.201988802,2
XGBoost,0.214863815,0.269126385,0.049676835,2
Random Forest,3.313320582,4.658764802,0.748768438,2
LightGBM,3.045608579,3.947425718,0.690136755,2
SVR,14.77039933,20.16082398,3.306621345,3
Deep Learning,15.10809425,20.44142789,3.37879062,3
XGBoost,0.00043335,0.000531825,9.97E-05,3
Random Forest,4.632807199,6.616236082,1.047385311,3
LightGBM,1.773109286,2.288073916,0.39686172,3
SVR,17.21352031,23.44849235,3.336923773,4
Deep Learning,17.70345421,24.00315625,3.431599732,4
XGBoost,1.061909637,1.385566896,0.211584957,4
Random Forest,2.658825,3.702833543,0.513828115,4
LightGBM,1.730492476,2.273126774,0.343050416,4
SVR,16.02577759,21.85107671,4.654642695,5
Deep Learning,16.42431019,22.28070801,4.806812079,5
XGBoost,6.181388626,8.062514184,1.833837586,5
Random Forest,3.574900183,5.29614867,1.044765912,5
LightGBM,2.999214741,3.877874529,0.886508094,5
SVR,15.04657597,21.58295337,4.618439308,6
Deep Learning,15.50491627,22.01603508,4.816969056,6
XGBoost,3.423421745,4.414852206,1.091036132,6
Random Forest,3.213058298,4.654703785,1.006776873,6
LightGBM,3.538676087,4.96853969,1.073568025,6
SVR,12.62138624,18.79927829,3.783567278,7
Deep Learning,15.48444904,21.1458297,4.753956635,7
XGBoost,0.025301018,0.032853362,0.007817216,7
Random Forest,3.921009775,6.13354687,1.183770935,7
LightGBM,0.838407356,1.246100988,0.251711212,7
SVR,12.4374321,17.50286868,3.509700628,8
Deep Learning,12.96889278,17.79397968,3.63671858,8
XGBoost,18.15664436,23.23984088,5.416710598,8
Random Forest,3.434962082,5.009768581,0.970516813,8
LightGBM,5.045894532,6.565339368,1.409064726,8
SVR,12.90081248,17.32213659,3.654939972,9
Deep Learning,13.38291653,17.72033363,3.810531072,9
XGBoost,10.93337021,13.45077919,3.167190929,9
Random Forest,3.518129214,4.833163784,1.005047731,9
