Date,month,Market,Length,Grade.Type,Series,Price,y,Width,Height
2008-01-10,1,0,5.0,0,1,298,278,2,4
2008-01-17,1,0,5.0,0,1,299,285,2,4
2008-01-24,1,0,5.0,0,1,286,288,2,4
2008-01-31,1,0,5.0,0,1,275,283,2,4
2008-02-07,2,0,5.0,0,1,278,281,2,4
2008-02-14,2,0,5.0,0,1,285,281,2,4
2008-02-21,2,0,5.0,0,1,288,291,2,4
2008-02-28,2,0,5.0,0,1,283,285,2,4
2008-03-06,3,0,5.0,0,1,281,281,2,4
2008-03-13,3,0,5.0,0,1,281,295,2,4
2008-03-20,3,0,5.0,0,1,291,293,2,4
2008-03-27,3,0,5.0,0,1,285,294,2,4
2008-04-03,4,0,5.0,0,1,281,292,2,4
2008-04-10,4,0,5.0,0,1,295,295,2,4
2008-04-17,4,0,5.0,0,1,293,295,2,4
2008-04-24,4,0,5.0,0,1,294,305,2,4
2008-05-01,5,0,5.0,0,1,292,306,2,4
2008-05-08,5,0,5.0,0,1,295,326,2,4
2008-05-15,5,0,5.0,0,1,295,322,2,4
2008-05-22,5,0,5.0,0,1,305,315,2,4
2008-05-29,5,0,5.0,0,1,306,324,2,4
2008-06-05,6,0,5.0,0,1,326,326,2,4
2008-06-12,6,0,5.0,0,1,322,328,2,4
2008-06-19,6,0,5.0,0,1,315,332,2,4
2008-06-26,6,0,5.0,0,1,324,342,2,4
2008-07-03,7,0,5.0,0,1,326,352,2,4
2008-07-10,7,0,5.0,0,1,328,368,2,4
2008-07-17,7,0,5.0,0,1,332,378,2,4
2008-07-24,7,0,5.0,0,1,342,381,2,4
2008-07-31,7,0,5.0,0,1,352,389,2,4
2008-08-07,8,0,5.0,0,1,368,396,2,4
2008-08-14,8,0,5.0,0,1,378,382,2,4
2008-08-21,8,0,5.0,0,1,381,356,2,4
2008-08-28,8,0,5.0,0,1,389,341,2,4
2008-09-04,9,0,5.0,0,1,396,329,2,4
2008-09-11,9,0,5.0,0,1,382,344,2,4
2008-09-18,9,0,5.0,0,1,356,348,2,4
2008-09-25,9,0,5.0,0,1,341,349,2,4
2008-10-02,10,0,5.0,0,1,329,331,2,4
2008-10-09,10,0,5.0,0,1,344,329,2,4
2008-10-16,10,0,5.0,0,1,348,333,2,4
2008-10-23,10,0,5.0,0,1,349,356,2,4
2008-10-30,10,0,5.0,0,1,331,333,2,4
2008-11-06,11,0,5.0,0,1,329,344,2,4
2008-11-13,11,0,5.0,0,1,333,328,2,4
2008-11-20,11,0,5.0,0,1,356,313,2,4
2008-11-27,11,0,5.0,0,1,333,316,2,4
2008-12-04,12,0,5.0,0,1,344,318,2,4
2008-12-11,12,0,5.0,0,1,328,301,2,4
2008-12-18,12,0,5.0,0,1,313,307,2,4
2008-12-25,12,0,5.0,0,1,316,307,2,4
2009-01-01,1,0,5.0,0,1,318,294,2,4
2009-01-08,1,0,5.0,0,1,301,295,2,4
2009-01-15,1,0,5.0,0,1,307,304,2,4
2009-01-22,1,0,5.0,0,1,307,302,2,4
2009-01-29,1,0,5.0,0,1,294,301,2,4
2009-02-05,2,0,5.0,0,1,295,309,2,4
2009-02-12,2,0,5.0,0,1,304,301,2,4
2009-02-19,2,0,5.0,0,1,302,292,2,4
2009-02-26,2,0,5.0,0,1,301,289,2,4
2009-03-05,3,0,5.0,0,1,309,291,2,4
2009-03-12,3,0,5.0,0,1,301,300,2,4
2009-03-19,3,0,5.0,0,1,292,302,2,4
2009-03-26,3,0,5.0,0,1,289,306,2,4
2009-04-02,4,0,5.0,0,1,291,292,2,4
2009-04-09,4,0,5.0,0,1,300,287,2,4
2009-04-16,4,0,5.0,0,1,302,281,2,4
2009-04-23,4,0,5.0,0,1,306,273,2,4
2009-04-30,4,0,5.0,0,1,292,268,2,4
2009-05-07,5,0,5.0,0,1,287,269,2,4
2009-05-14,5,0,5.0,0,1,281,281,2,4
2009-05-21,5,0,5.0,0,1,273,317,2,4
2009-05-28,5,0,5.0,0,1,268,329,2,4
2009-06-04,6,0,5.0,0,1,269,337,2,4
2009-06-11,6,0,5.0,0,1,281,337,2,4
2009-06-18,6,0,5.0,0,1,317,324,2,4
2009-06-25,6,0,5.0,0,1,329,305,2,4
2009-07-02,7,0,5.0,0,1,337,298,2,4
2009-07-09,7,0,5.0,0,1,337,302,2,4
2009-07-16,7,0,5.0,0,1,324,310,2,4
2009-07-23,7,0,5.0,0,1,305,316,2,4
